Date,Close,High,Low,Open,Volume
2023-09-01,6977.65380859375,6992.634765625,6950.26416015625,6953.259765625,145790000
2023-09-04,6996.75,7007.8017578125,6974.8232421875,6977.7958984375,154577900
2023-09-05,6991.7080078125,7014.47998046875,6972.626953125,6996.75,183173900
2023-09-06,6995.953125,7020.966796875,6989.7900390625,6991.7080078125,165422100
2023-09-07,6954.80810546875,7003.671875,6927.4208984375,6996.09521484375,191159400
2023-09-08,6924.77978515625,6966.76611328125,6900.5869140625,6954.80810546875,140402900
2023-09-11,6963.39306640625,6963.39306640625,6904.36279296875,6924.77978515625,174103700
2023-09-12,6933.96923828125,6976.47998046875,6928.22900390625,6963.39306640625,174683500
2023-09-13,6935.47607421875,6944.82080078125,6903.23486328125,6934.10986328125,163898700
2023-09-14,6959.3330078125,6968.97705078125,6927.68017578125,6935.3349609375,171813100
2023-09-15,6982.791015625,7011.87890625,6945.06982421875,6959.19091796875,346903000
2023-09-18,6936.0830078125,6999.39794921875,6928.77099609375,6982.791015625,153763100
2023-09-19,6980.32080078125,6994.037109375,6934.7109375,6936.3671875,135442200
2023-09-20,7011.68115234375,7046.47509765625,6980.32080078125,6980.32080078125,146616600
2023-09-21,6991.4658203125,7021.2939453125,6974.0087890625,7011.68115234375,138027800
2023-09-22,7016.84423828125,7040.1298828125,6985.958984375,6991.4658203125,155659000
2023-09-25,6998.380859375,7029.76611328125,6994.43896484375,7016.98486328125,182991900
2023-09-26,6923.7998046875,7019.5517578125,6913.81689453125,6998.09716796875,222491300
2023-09-27,6937.828125,6970.84619140625,6913.35205078125,6923.7998046875,154929800
2023-09-29,6939.89208984375,6978.5927734375,6937.828125,6937.828125,165659400
2023-10-02,6961.458984375,6984.5791015625,6939.61083984375,6939.89208984375,157872500
2023-10-03,6940.88720703125,6992.626953125,6940.88720703125,6961.458984375,167668900
2023-10-04,6886.576171875,6943.27392578125,6839.85791015625,6940.88720703125,196090300
2023-10-05,6874.826171875,6934.80419921875,6874.826171875,6886.98583984375,167955300
2023-10-06,6888.51806640625,6913.01220703125,6875.09912109375,6875.09912109375,142303700
2023-10-09,6891.455078125,6929.97119140625,6880.5380859375,6888.51806640625,139709000
2023-10-10,6922.18798828125,6954.0087890625,6891.455078125,6891.455078125,123670000
2023-10-11,6931.7529296875,6965.8251953125,6914.72119140625,6922.18798828125,178123100
2023-10-12,6935.15087890625,6986.8828125,6931.88916015625,6931.88916015625,218808900
2023-10-13,6926.77978515625,6973.751953125,6902.05908203125,6934.8779296875,216335000
2023-10-16,6896.2919921875,6970.59814453125,6878.26318359375,6926.916015625,341572100
2023-10-17,6939.615234375,6948.0390625,6892.23291015625,6896.2919921875,176866700
2023-10-18,6927.90576171875,6968.2548828125,6908.2861328125,6939.615234375,187464900
2023-10-19,6846.4267578125,6927.98095703125,6840.365234375,6927.6328125,205941400
2023-10-20,6849.16796875,6869.47412109375,6803.19287109375,6846.4267578125,194064800
2023-10-23,6741.9638671875,6853.44921875,6730.8759765625,6849.16796875,168543100
2023-10-24,6806.76220703125,6826.048828125,6738.533203125,6741.828125,141478700
2023-10-25,6834.38818359375,6878.56005859375,6806.89892578125,6806.89892578125,153802700
2023-10-26,6714.51904296875,6838.80908203125,6704.52001953125,6833.97900390625,168306200
2023-10-27,6758.79296875,6781.39306640625,6713.93701171875,6714.51904296875,163096100
2023-10-30,6735.89208984375,6775.212890625,6692.77978515625,6758.6572265625,157763400
2023-10-31,6752.2109375,6754.51611328125,6666.41015625,6735.89208984375,195489700
2023-11-01,6642.41796875,6773.98095703125,6639.82421875,6751.93896484375,206571400
2023-11-02,6751.38623046875,6784.9951171875,6642.68994140625,6642.68994140625,221191100
2023-11-03,6788.85009765625,6826.6181640625,6748.69580078125,6751.38623046875,231714900
2023-11-06,6878.8359375,6878.8359375,6787.22802734375,6788.85009765625,228787500
2023-11-07,6843.7900390625,6887.02294921875,6806.8818359375,6878.8359375,193087900
2023-11-08,6804.10595703125,6843.91796875,6760.10205078125,6843.65380859375,151412300
2023-11-09,6838.23291015625,6865.0771484375,6793.76416015625,6804.10595703125,120495400
2023-11-10,6809.26318359375,6843.95703125,6801.9189453125,6838.23291015625,133618500
2023-11-13,6838.31201171875,6857.10302734375,6809.26318359375,6809.26318359375,187630200
2023-11-14,6862.05517578125,6886.81005859375,6829.94921875,6838.0400390625,152609900
2023-11-15,6958.205078125,6985.5908203125,6862.3271484375,6862.3271484375,181839600
2023-11-16,6958.0078125,6964.1689453125,6906.59423828125,6958.3408203125,122880300
2023-11-17,6977.66796875,6977.66796875,6919.6298828125,6958.14501953125,122926700
2023-11-20,6994.88818359375,7011.05908203125,6962.7509765625,6977.66796875,150491900
2023-11-21,6961.7900390625,7010.97802734375,6946.9609375,6994.88818359375,160615900
2023-11-22,6906.953125,6965.4111328125,6893.5068359375,6961.7900390625,181914600
2023-11-23,7004.34423828125,7018.42919921875,6906.60986328125,6907.0888671875,219080000
2023-11-24,7009.630859375,7049.541015625,7000.09716796875,7004.47998046875,181146200
2023-11-27,7013.40576171875,7061.8271484375,7008.81298828125,7009.630859375,163462500
2023-11-28,7041.0732421875,7067.14306640625,7010.8251953125,7013.40576171875,167633600
2023-11-29,7036.0869140625,7070.19091796875,7020.01220703125,7041.0732421875,167555900
2023-11-30,7080.7412109375,7109.60888671875,7036.0869140625,7036.0869140625,259745500
2023-12-01,7059.90576171875,7083.85595703125,7022.76513671875,7080.06103515625,265990100
2023-12-04,7093.60009765625,7149.244140625,7060.0419921875,7060.0419921875,308380600
2023-12-05,7100.85498046875,7117.578125,7047.6318359375,7093.05615234375,319577000
2023-12-06,7087.39501953125,7140.1572265625,7085.81201171875,7100.85498046875,272847500
2023-12-07,7134.623046875,7134.623046875,7041.0087890625,7087.39501953125,235230700
2023-12-08,7159.59814453125,7201.62890625,7123.037109375,7134.623046875,270037600
2023-12-11,7088.78515625,7153.115234375,7045.1728515625,7139.27587890625,490104800
2023-12-12,7125.30712890625,7134.22021484375,7082.8798828125,7104.97216796875,255110500
2023-12-13,7075.3408203125,7124.47509765625,7045.94287109375,7110.0771484375,182766500
2023-12-14,7176.01611328125,7191.1591796875,7115.44677734375,7134.0419921875,228648300
2023-12-15,7190.98779296875,7215.93701171875,7169.43017578125,7183.14892578125,207901200
2023-12-18,7119.52490234375,7192.89208984375,7092.02783203125,7181.43408203125,239480200
2023-12-19,7187.84619140625,7187.84619140625,7112.81787109375,7116.5458984375,155446500
2023-12-20,7219.6669921875,7237.9658203125,7196.2412109375,7207.18017578125,142313600
2023-12-21,7209.619140625,7229.2880859375,7173.0078125,7222.0927734375,144347800
2023-12-22,7237.51904296875,7248.5478515625,7218.1748046875,7225.6201171875,111284900
2023-12-27,7245.916015625,7293.52490234375,7239.6630859375,7256.158203125,124953000
2023-12-28,7303.88818359375,7308.205078125,7262.25390625,7266.56884765625,123036000
2023-12-29,7272.796875,7309.7822265625,7259.68212890625,7307.11083984375,123172800
2024-01-02,7323.587890625,7323.587890625,7245.56591796875,7268.39794921875,121359000
2024-01-03,7279.0908203125,7321.87890625,7275.8740234375,7316.10888671875,159498400
2024-01-04,7359.76318359375,7371.23486328125,7280.4072265625,7290.06494140625,155674900
2024-01-05,7350.619140625,7403.578125,7350.619140625,7376.2880859375,163057200
2024-01-08,7283.5751953125,7393.1318359375,7275.1708984375,7362.046875,140602400
2024-01-09,7200.203125,7311.63818359375,7180.1572265625,7299.783203125,152570700
2024-01-10,7227.296875,7259.60107421875,7152.8779296875,7187.580078125,152699300
2024-01-11,7219.9638671875,7277.5009765625,7219.9638671875,7253.4560546875,190523900
2024-01-12,7241.13818359375,7271.8720703125,7205.7587890625,7242.3671875,152196500
2024-01-15,7224.0009765625,7281.26123046875,7206.30712890625,7254.044921875,132959600
2024-01-16,7242.787109375,7268.17822265625,7210.02880859375,7231.63916015625,130295500
2024-01-17,7200.634765625,7252.45703125,7162.48486328125,7248.01416015625,202143100
2024-01-18,7252.966796875,7267.080078125,7185.37890625,7198.85009765625,158921700
2024-01-19,7227.40185546875,7277.97900390625,7170.80517578125,7271.341796875,137359600
2024-01-22,7247.92822265625,7247.92822265625,7194.951171875,7233.1728515625,141722200
2024-01-23,7256.22900390625,7256.22900390625,7201.8291015625,7232.51611328125,132610200
2024-01-24,7227.8232421875,7271.9580078125,7170.2978515625,7255.77001953125,128902300
2024-01-25,7178.0419921875,7253.72021484375,7176.11181640625,7215.52685546875,130391900
2024-01-26,7137.087890625,7166.68994140625,7099.083984375,7152.26904296875,140214300
2024-01-29,7157.1748046875,7177.69677734375,7115.0361328125,7147.71484375,160408500
2024-01-30,7192.2158203125,7213.18896484375,7133.61376953125,7147.23583984375,182161800
2024-01-31,7207.94091796875,7247.51806640625,7192.64404296875,7213.30712890625,170270400
2024-02-01,7201.69580078125,7248.52978515625,7191.69482421875,7221.85205078125,157409100
2024-02-02,7238.78515625,7238.78515625,7180.35693359375,7221.90087890625,114364900
2024-02-05,7198.615234375,7254.0888671875,7186.1708984375,7237.3349609375,137325900
2024-02-06,7247.408203125,7268.1318359375,7212.14013671875,7230.14892578125,138020300
2024-02-07,7235.15185546875,7285.1279296875,7225.44921875,7264.97607421875,138054800
2024-02-12,7297.6689453125,7306.158203125,7250.31005859375,7268.3349609375,178661300
2024-02-13,7209.7412109375,7301.587890625,7197.8271484375,7301.587890625,128287400
2024-02-15,7303.28076171875,7365.68212890625,7298.48193359375,7337.630859375,184420400
2024-02-16,7335.544921875,7370.56982421875,7314.8828125,7337.81591796875,146427800
2024-02-19,7296.7021484375,7339.755859375,7277.537109375,7323.31201171875,151238000
2024-02-20,7352.60107421875,7354.10791015625,7309.498046875,7320.72314453125,129972000
2024-02-21,7349.02099609375,7370.8818359375,7286.669921875,7345.791015625,152570100
2024-02-22,7339.63623046875,7365.76123046875,7321.52294921875,7334.9521484375,154523800
2024-02-23,7295.09521484375,7340.18994140625,7262.10009765625,7326.52685546875,146259500
2024-02-26,7283.8232421875,7295.14208984375,7252.2841796875,7277.64013671875,147080400
2024-02-27,7285.31689453125,7292.93115234375,7255.1240234375,7263.98779296875,183851000
2024-02-28,7328.63623046875,7328.73876953125,7289.2578125,7292.0751953125,220356500
2024-02-29,7316.11083984375,7337.9228515625,7289.341796875,7326.80322265625,230050900
2024-03-01,7311.9072265625,7331.31591796875,7269.89404296875,7318.666015625,134622000
2024-03-04,7276.7490234375,7328.384765625,7259.78076171875,7318.83203125,168064100
2024-03-05,7247.4599609375,7305.44677734375,7238.3388671875,7296.5341796875,152811800
2024-03-06,7329.80078125,7331.0810546875,7248.52783203125,7252.0849609375,180285900
2024-03-07,7373.9638671875,7386.8740234375,7334.30810546875,7338.73193359375,193312700
2024-03-08,7381.9072265625,7416.43310546875,7376.15576171875,7398.42919921875,125243200
2024-03-13,7421.20703125,7441.6162109375,7392.01123046875,7422.3017578125,135225800
2024-03-14,7433.31494140625,7454.4482421875,7380.64794921875,7405.56689453125,129206200
2024-03-15,7328.05419921875,7416.3388671875,7308.03515625,7408.658203125,231480500
2024-03-18,7302.44921875,7358.55078125,7300.94091796875,7338.076171875,155334600
2024-03-19,7336.74609375,7361.52978515625,7314.18017578125,7320.5380859375,137594400
2024-03-20,7331.1279296875,7343.4599609375,7295.35009765625,7303.92919921875,169731600
2024-03-21,7338.35302734375,7396.47119140625,7336.59521484375,7360.55810546875,139792200
2024-03-22,7350.15185546875,7350.15185546875,7318.43603515625,7327.51416015625,123735900
2024-03-25,7377.759765625,7377.759765625,7316.92919921875,7339.52392578125,124315600
2024-03-26,7365.6640625,7371.84423828125,7330.4638671875,7337.6611328125,138442500
2024-03-27,7310.091796875,7375.39990234375,7292.7978515625,7364.23095703125,125276700
2024-03-28,7288.81298828125,7313.01416015625,7244.9541015625,7289.158203125,124084200
2024-04-01,7205.06103515625,7295.0029296875,7137.4638671875,7286.11376953125,124345600
